Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,ID,What is your age in years?,"What sex were you assigned at birth, such as on an original birth certificate?",What is your gender?,"Please indicate your ethnicity (i.e. peoples’ ethnicity describes their feeling of belonging and attachment to a distinct group of a larger population that shares their ancestry, colour, language or religion)?",,What is your nationality?,,What is your religious affiliation?,,"As a Christian, which of these groups do you identify with? Select all that apply.",,,,,,,,,,Use the slider to indicate how important religion is in your life from 0 (not important at all) to 100 (extremely important).,How often do you think about religious issues?,To what extent do you believe that God or something divine exists?,How often do you take part in religious services?,How often do you pray?,How often do you experience situations in which you have the feeling that God or something divine intervenes in your life?,"The following items describe a variety of concepts. Please rate how disgusting you find the concepts described in the items, where 0 means that you do not find the concept disgusting at all and 6 means that you find the concept extremely disgusting.",,,,,,,,,,,,,,,,,,,,,With how many different partners have you had sex within the past 12 months?,With how many different partners have you had sexual intercourse on one and only one occasion?,With how many different partners have you had sexual intercourse without having an interest in a long-term committed relationship with this person?,Sex without love is OK.,I can imagine myself being comfortable and enjoying “casual” sex with different partners.,"I do not want to have sex with a person until I am sure that we will have a long-term, serious relationship.",How often do you have fantasies about having sex with someone with whom you do not have a committed romantic relationship?,How often do you experience sexual arousal when you are in contact with someone with whom you do not have a committed romantic relationship?,"In everyday life, how often do you have spontaneous fantasies about having sex with someone you have just met?",Below are items that relate to the cultures of different parts of the world. Work quickly and record your first reaction to each item. There are no right or wrong answers. Please indicate the degree to which you agree or disagree with each item using the following five-point scale: Strongly Disagree = 1; Disagree = 2; Neutral = 3; Agree = 4; Strongly Agree = 5,,,,,,,"The following questions concern values that people may or may not hold. Please click bubbles to indicate the degree to which you disagree or agree with each statement, where higher numbers mean you agree with the statement more and lower numbers mean you disagree with the statement more.",,,,,,,,,,,
,,,,,,,,,,Response,Response,Open-Ended Response,Response,Other (please specify):,Response,Other (please specify),Response,Other (please specify),Catholic,Protestant,Orthodox,Pentecostal,Lutheran,Methodist,Anglican,Baptist,Presbyterian,Other (please specify),Open-Ended Response,Response,Response,Response,Response,Response,Shoplifting a candy bar from a convenience store,Hearing two strangers having sex,Stepping on dog poop,Stealing from a neighbor,Performing oral sex,Sitting next to someone who has red sores on their arm,A student cheating to get good grades,Watching a pornographic video,Shaking hands with a stranger who has sweaty palms,Deceiving a friend,Finding out that someone you do not like has sexual fantasies about you,Seeing some mold on old leftovers in your refrigerator,Forging someone’s signature on a legal document,Bringing someone you just met back to your room to have sex,Standing close to a person who has body odor,Cutting to the front of a line to purchase the last few tickets to a show,A stranger of the opposite sex intentionally rubbing your thigh in an elevator,Seeing a cockroach run across the floor,Intentionally lying during a business transaction,Having anal sex with someone of the opposite sex,Accidentally touching a person’s bloody cut,Response,Response,Response,Response,Response,Response,Response,Response,Response,1. I see people who are similar to me as virtuous.,2. I do not cooperate with people who are different.,3. I do not trust people who are different.,4. My culture should be the role model for other cultures.,5. Lifestyles in other cultures are just as valid as those in my culture.,6. I respect the values and customs of other cultures.,7. Other cultures are smart to look up to our culture.,People emphasize tradition too much.,Traditions are the foundation of a healthy society and should be respected.,It would be better for society if more people followed social norms.,Traditions interfere with progress.,People should challenge social traditions in order to advance society.,People should respect social norms.,Society should not resist innovation.,People should learn the traditions of the past.,People are too often stuck in the ways of the past.,People have a responsibility to carry on the practices of those that came before them.,Keeping traditional customs alive is important for society.,It is important to follow social norms established in the community.
1.10016E+11,270409977,6/20/24 16:30,6/21/24 10:55,70.67.126.225,,,,,932996259,1,1,Male,11,,7,,6,,,,,,,,,,,,,3,4,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10016E+11,270412194,6/21/24 10:30,6/21/24 10:35,142.115.131.88,,,,,5543677673,24,1,Male,9,,7,,6,,,,,,,,,,,,10,5,1,6,6,3,6,4,6,6,6,6,6,6,6,6,4,6,6,6,6,5,6,3,6,6,6,1,1,1,6,1,7,1,1,1,4,1,1,3,4,5,4,4,5,4,3,4,3,3,4,5,4,4,3
1.10016E+11,270412194,6/21/24 10:12,6/21/24 10:25,136.226.112.191,,,,,9072712365,6,2,female,5,,8,,6,,,,,,,,,,,,5,3,2,7,5,4,2,4,5,6,1,2,2,3,4,6,3,5,5,1,6,6,2,5,5,4,5,7,8,8,7,9,2,8,6,6,3,1,1,1,4,4,3,3,3,3,5,6,5,6,6,6,6,6,5
1.10016E+11,270412194,6/21/24 10:11,6/21/24 10:14,147.147.67.240,,,,,8614764473,14,1,Male,10,,1,,6,,,,,,,,,,,,6,4,4,7,7,4,5,3,6,4,1,2,5,2,4,5,2,6,6,2,4,5,4,4,4,1,3,3,3,6,7,6,3,6,6,6,4,2,2,3,4,4,4,5,1,3,4,4,5,6,3,5,1,2,5
1.10016E+11,270412194,6/21/24 9:49,6/21/24 10:10,181.42.185.219,,,,,6618504023,12,2,female,5,,0,Chile,6,,,,,,,,,,,,9,4,3,3,5,3,1,4,6,3,2,5,4,3,4,5,3,6,3,2,6,6,6,6,5,3,4,2,7,3,8,7,4,3,3,1,2,2,3,1,4,3,1,5,2,4,3,4,3,3,2,6,2,2,3
1.10016E+11,270412194,6/21/24 9:49,6/21/24 10:04,188.250.215.70,,,,,183944172,30,1,male,10,,0,Portugal,0,anti-religions,,,,,,,,,,,0,5,5,7,7,5,4,4,6,6,1,3,3,1,5,6,6,2,6,3,6,5,5,1,5,1,4,2,1,1,9,1,1,2,1,2,3,1,1,1,5,5,3,6,3,4,6,6,6,6,6,6,3,2,2
1.10016E+11,270412194,6/21/24 9:48,6/21/24 10:03,41.132.14.253,,,,,2108726524,8,1,Male,1,,0,South Africa,1,,,,,,,,,8,,,98,2,1,3,1,1,6,4,6,4,6,1,1,2,3,4,3,1,3,1,6,1,1,1,2,6,3,3,2,2,5,3,1,4,2,1,4,1,3,1,5,5,4,6,5,5,2,3,4,6,3,2,5,6,6
1.10016E+11,270412194,6/21/24 9:58,6/21/24 10:03,89.64.19.53,,,,,4184635661,6,2,female,10,,0,Poland,6,,,,,,,,,,,,20,4,4,5,7,5,1,4,6,4,1,2,2,1,4,5,4,1,2,1,5,3,6,2,2,1,2,1,1,1,9,2,3,1,2,1,3,2,4,3,2,4,3,2,3,4,4,5,4,5,4,4,3,4,3
1.10016E+11,270412194,6/21/24 9:49,6/21/24 10:03,102.221.251.40,,,,,9418260919,7,2,Female ,1,,0,South African ,1,,,,,,,6,,,,,72,3,5,5,1,1,2,5,6,5,4,6,4,3,5,5,6,3,3,3,4,1,6,5,5,3,6,2,1,2,7,1,6,2,1,1,4,1,3,2,4,4,3,3,4,4,1,4,3,6,4,3,6,5,4
